Rank,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
1,Carl Cox,Paul Oakenfold,Paul Oakenfold,Sasha,John Digweed,Tiesto,Tiesto,Tiesto,Paul Van Dyk,Paul Van Dyk,Armin Van Buuren,Armin Van Buuren,Armin Van Buuren,Armin Van Buuren,David Guetta,Armin Van Buuren,Hardwell
2,Paul Oakenfold,Carl Cox,Carl Cox,Paul Oakenfold,Sasha,Sasha,Paul Van Dyk,Paul Van Dyk,Tiesto,Armin Van Buuren,Tiesto,Tiesto,Tiesto,David Guetta,Armin Van Buuren,Tiesto,Armin Van Buuren
3,Sasha,Judge Jules,Sasha,John Digweed,Danny Tenaglia,John Digweed,Armin Van Buuren,Armin Van Buuren,Armin Van Buuren,Tiesto,John Digweed,Paul Van Dyk,David Guetta,Tiesto,Tiesto,Avicii,Avicii
4,Judge Jules,Pete Tong,Judge Jules,Paul Van Dyk,Paul Van Dyk,Paul Van Dyk,Sasha,Sasha,Sasha,Christopher Lawrence,Paul Van Dyk,Above & Beyond,Above & Beyond,Deadmau5,Deadmau5,David Guetta,Tiesto
5,Tony De Vit,Sasha,Paul Van Dyk,Carl Cox,Paul Oakenfold,Armin Van Buuren,John Digweed,Ferry Corsten,Ferry Corsten,DJ Dan,Sasha,David Guetta,Paul Van Dyk,Above & Beyond,Above & Beyond,Deadmau5,David Guetta
6,Pete Tong,Paul Van Dyk,John Digweed,Judge Jules,Tiesto,Paul Oakenfold,Ferry Corsten,Hernan Cattaneo,John Digweed,Ferry Corsten,Above & Beyond,Ferry Corsten,Deadmau5,Paul Van Dyk,Avicii,Hardwell,Dimitri Vegas & Like Mike
7,Danny Rampling,John Digweed,Fatboy Slim,Danny Tenaglia,Carl Cox,Judge Jules,Carl Cox,Christopher Lawrence,Hernan Cattaneo,Sasha,Carl Cox,Sasha,Ferry Corsten,Gareth Emery,Afrojack,Dash Berlin,Nicky Romero
8,Hype,Tall Paul,Danny Tenaglia,Fergie,Mauro Picotto,Carl Cox,Paul Oakenfold,John Digweed,Deep Dish,John Digweed,Ferry Corsten,Markus Schulz,Markus Schulz,Markus Schulz,Dash Berlin,Above & Beyond,Steve Aoki
9,Grooverider,Danny Rampling,Roger Sanchez,Lisa Lashes,Steve Lawler,Lee Burridge,Judge Jules,Paul Oakenfold,ATB,Above & Beyond,Infected Mushroom,John Digweed,Gareth Emery,Ferry Corsten,Markus Schulz,Afrojack,Afrojack
10,Jeremy Healy,Seb Fontaine,Nick Warren,Danny Howells,Deep Dish,Danny Tenaglia,Deep Dish,Deep Dish,Carl Cox,Deep Dish,David Guetta,Infected Mushroom,Sander Van Doorn,Axwell,Swedish House Mafia,Skrillex,Dash Berlin
11,Todd Terry,Gordon Kaye,Pete Tong,Seb Fontaine,Judge Jules,Ferry Corsten,James Zabiela,Carl Cox,Paul Oakenfold,Carl Cox,Deep Dish,Deadmau5,ATB,ATB,Paul Van Dyk,Headhunterz,Skrillex
12,John Digweed,Tony De Vit,Masters At Work,Dave Seaman,Danny Howells,Danny Howells,Danny Howells,Sander Kleinenberg,Richie Hawtin,Infected Mushroom,Paul Oakenfold,Carl Cox,Infected Mushroom,Sander Van Doorn,Axwell,Swedish House Mafia,Deadmau5
13,Roger Sanchez,Danny Tenaglia,Seb Fontaine,Danny Rampling,Roger Sanchez,Steve Lawler,Sander Kleinenberg,ATB,James Zabiela,ATB,Markus Schulz,Sander Van Doorn,Sasha,Infected Mushroom,Gareth Emery,Markus Schulz,Alesso
14,LTJ Bukem,Masters At Work,Tall Paul,Roger Sanchez,Erick Morillo,Mauro Picotto,Steve Lawler,Judge Jules,Christopher Lawrence,Paul Oakenfold,Hernan Cattaneo,Paul Oakenfold,Axwell,Steve Angello,Fedde Le Grand,Gareth Emery,W & W
15,Masters At Work,Roger Sanchez,Tony Humphries,Erick Morillo,Sander Kleinenberg,Sander Kleinenberg,Marco V,James Zabiela,Judge Jules,Hernan Cattaneo,Sander Van Doorn,Richie Hawtin,Andy Moor,Dash Berlin,ATB,Steve Aoki,Calvin Harris
16,Roni Size,Norman Cook,Danny Howells,Tall Paul,Fergie,Deep Dish,Erick Morillo,Marco V,Marco V,Judge Jules,Eddie Halliwell,Hernan Cattaneo,Bobina,Sebastian Ingrosso,Sander Van Doorn,Paul Van Dyk,Nervo
17,Graeme Park,Boy George,Dave Seaman,Timo Maas,Dave Seaman,Erick Morillo,Mauro Picotto,Roger Sanchez,Eddie Halliwell,Eddie Halliwell,James Zabiela,James Zabiela,John Digweed,Laidback Luke,Headhunterz,Nicky Romero,Above & Beyond
18,Seb Fontaine,Sonique,Basement Jaxx,Nick Warren,Tall Paul,Lisa Lashes,Danny Tenaglia,Benny Benassi,Erick Morillo,Marco V,Astrix,Andy Moor,Carl Cox,Judge Jules,Ferry Corsten,Sander Van Doorn,Sebastian Ingrosso
19,Tall Paul,Nick Warren,Danny Rampling,Deep Dish,Ferry Corsten,Hernan Cattaneo,Tall Paul,Tall Paul,Above & Beyond,Markus Schulz,Richie Hawtin,Eddie Halliwell,Cosmic Gate,Afrojack,Skrillex,Aly & Fila,Axwell
20,Laurent Garnier,David Morales,Gilles Peterson,Anthony Pappa,Seb Fontaine,Roger Sanchez,Eddie Halliwell,Danny Howells,Sander Kleinenberg,Gabriel & Dresden,Marco V,Axwell,Steve Angello,Aly & Fila,Laidback Luke,Alesso,Aly & Fila
21,Slipmatt,Graeme Park,Allister Whitehead,Pete Tong,Fatboy Slim,Fergie,Roger Sanchez,Steve Lawler,Markus Schulz,James Zabiela,Judge Jules,Eric Prydz,Roger Shah,Fedde Le Grand,Infected Mushroom,ATB,Markus Schulz
22,Graham Gold,Graham Gold,Jeremy Healy,Ferry Corsten,Richie Hawtin,Fatboy Slim,Hernan Cattaneo,Erick Morillo,Benny Benassi,John Acquaviva,Fedde Le Grand,Kyau & Albert,Aly & Fila,Carl Cox,Aly & Fila,Ferry Corsten,Daft Punk
23,Armand Van Helden,John Kelly,Frankie Knuckles,Masters At Work,Max Graham,Dave Clarke,Fergie,Chris Liebing,Sven Vath,Flash Brothers,Gabriel & Dresden,Gareth Emery,Paul Oakenfold,Swedish House Mafia,Steve Angello,Axwell,Headhunterz
24,Tony Humphries,Dave Seaman,Richie Hawtin,Tiesto,Timo Maas,Derrick Carter,Johan Gielen,DJ Dan,DJ Dan,Amadeus,Erick Morillo,Sven Vath,John O'Callaghan,Cosmic Gate,Hardwell,Dada Life,Zedd
25,David Morales,DJ Sneak,The Chemical Brothers,Steve Lawler,Danny Rampling,Pete Tong,Pete Tong,Eddie Halliwell,Danny Howells,Erick Morillo,Roger Sanchez,ATB,Sebastian Ingrosso,Bobina,Arty,W & W,Knife Party
26,DJ Sneak,Allister Whitehead,Graeme Park,Richie Hawtin,Dave Clarke,Marco V,Lisa Lashes,Andy C,Infected Mushroom,Benny Benassi,ATB,Anderson Noise,Benny Benassi,Benny Benassi,Sebastian Ingrosso,Fedde Le Grand,Swedish House Mafia
27,Jeff Mills,Brandon Block,David Morales,Mauro Picotto,Armin Van Buuren,Satoshi Tomiie,John 00 Fleming,Mauro Picotto,Roger Sanchez,Sander Kleinenberg,Sven Vath,Joachim Garraud,Laidback Luke,Sasha,Benny Benassi,Noisecontrollers,Showtek
28,Derrick Carter,Jeff Mills,Adam Freeland,Fatboy Slim,Nick Warren,Richie Hawtin,Nick Warren,Johan Gielen,Mauro Picotto,Yahel,Yahel,Bobina,Richie Hawtin,Simon Patterson,Daft Punk,Arty,Andrew Rayel
29,Billy Nasty,Gilles Peterson,Derrick Carter,Dave Clarke,Lee Burridge,Seb Fontaine,Laurent Garnier,Lady Dana,Gabriel & Dresden,Offer Nissim,Umek,Fedde Le Grand,Fedde Le Grand,John Digweed,Martin Solveig,Laidback Luke,Fedde Le Grand
30,Allister Whitehead,Laurent Garnier,Scratch Perverts,Lisa Pin-up,Darren Emerson,Craig Richards,Lee Burridge,Lisa Lashes,Steve Lawler,Andy Moor,Andy Moor,Dubfire,DJ Feel,Eric Prydz,Kaskade,Kaskade,Dyro
31,Nick Warren,Norman Jay,Norman Jay,Laurent Garnier,Andy C,Eddie Halliwell,Dave Clarke,Adam Freeland,Blank & Jones,David Guetta,Gareth Emery,Aly & Fila,Lange,Richie Hawtin,Carl Cox,Calvin Harris,Laidback Luke
